Latitude,Longitude,MagneticField(nT)
0.0,0.0,30933.1
0.0,1.0,31067.3
0.0,2.0,31202.2
0.0,3.0,31337.7
0.0,4.0,31473.7
0.0,5.0,31609.9
0.0,6.0,31746.2
0.0,7.0,31882.3
0.0,8.0,32017.9
0.0,9.0,32152.7
0.0,10.0,32285.9
0.0,11.0,32414.7
0.0,12.0,32544.0
0.0,13.0,32668.1
0.0,14.0,32793.5
0.0,15.0,32919.9
0.0,16.0,33041.4
0.0,17.0,33158.5
0.0,18.0,33271.4
0.0,19.0,33380.2
0.0,20.0,33484.7
0.0,21.0,33584.6
0.0,22.0,33679.1
0.0,23.0,33768.4
0.0,24.0,33855.9
0.0,25.0,33936.2
0.0,26.0,34011.8
0.0,27.0,34078.9
0.0,28.0,34145.7
0.0,29.0,34199.6
0.0,30.0,34264.3
0.0,31.0,34313.1
0.0,32.0,34367.9
0.0,33.0,34432.7
0.0,34.0,34465.9
0.0,35.0,34500.6
0.0,36.0,34549.0
0.0,37.0,34587.9
0.0,38.0,34654.4
0.0,39.0,34710.0
0.0,40.0,34759.1
0.0,41.0,34810.8
0.0,42.0,34865.1
0.0,43.0,34922.3
0.0,44.0,34983.4
0.0,45.0,35049.3
0.0,46.0,35120.5
0.0,47.0,35197.6
0.0,48.0,35281.0
0.0,49.0,35371.0
0.0,50.0,35467.9
0.0,51.0,35571.9
0.0,52.0,35683.1
0.0,53.0,35801.8
0.0,54.0,35927.7
0.0,55.0,36061.0
0.0,56.0,36201.4
0.0,57.0,36348.8
0.0,58.0,36502.9
0.0,59.0,36663.4
0.0,60.0,36829.9
0.0,61.0,37002.0
0.0,62.0,37179.1
0.0,63.0,37360.9
0.0,64.0,37546.7
0.0,65.0,37736.0
0.0,66.0,37928.1
0.0,67.0,38122.5
0.0,68.0,38318.4
0.0,69.0,38515.1
0.0,70.0,38712.2
0.0,71.0,38908.7
0.0,72.0,39104.2
0.0,73.0,39297.8
0.0,74.0,39488.9
0.0,75.0,39676.9
0.0,76.0,39861.1
0.0,77.0,40040.9
0.0,78.0,40215.7
0.0,79.0,40384.9
0.0,80.0,40548.0
0.0,81.0,40704.5
0.0,82.0,40853.8
0.0,83.0,40995.6
0.0,84.0,41129.5
0.0,85.0,41255.0
0.0,86.0,41372.0
0.0,87.0,41480.2
0.0,88.0,41579.3
0.0,89.0,41669.2
0.0,90.0,41749.8
0.0,91.0,41821.1
0.0,92.0,41883.1
0.0,93.0,41935.8
0.0,94.0,41979.4
0.0,95.0,42014.0
0.0,96.0,42039.9
0.0,97.0,42057.2
0.0,98.0,42066.3
0.0,99.0,42067.5
0.0,100.0,42052.8
0.0,101.0,42045.8
0.0,102.0,42026.9
0.0,103.0,41999.9
0.0,104.0,41967.8
0.0,105.0,41929.7
0.0,106.0,41886.4
0.0,107.0,41838.5
0.0,108.0,41786.3
0.0,109.0,41730.3
0.0,110.0,41669.8
0.0,111.0,41607.3
0.0,112.0,41540.4
