Longitude,Latitude,Height,Gravity(mgal)
-90.0,45.0,411.0,980479.0337660777
-89.0,45.0,386.0,980479.6657890931
-88.0,45.0,210.0,980531.1495334016
-87.0,45.0,119.0,980561.0109569085
-86.0,45.0,156.0,980554.2807697437
-85.0,45.0,285.0,980519.2312604056
-84.0,45.0,244.0,980534.1459528104
-83.0,45.0,140.0,980564.9251470546
-82.0,45.0,19.0,980598.1323402476
-81.0,45.0,84.0,980573.2765735936
-80.0,45.0,160.0,980546.7696140045
-79.0,45.0,324.0,980496.43857761
-78.0,45.0,361.0,980488.6961091955
-77.0,45.0,288.0,980517.0461361811
-76.0,45.0,140.0,980568.7386080084
-75.0,45.0,84.0,980590.4359508064
-74.0,45.0,192.0,980558.9501979784
-73.0,45.0,85.0,980591.3903575472
-72.0,45.0,419.0,980486.396591659
-71.0,45.0,487.0,980463.5153865519
-70.0,45.0,436.0,980478.5212736467
-69.0,45.0,94.0,980584.9424613533
-68.0,45.0,119.0,980579.500205236
-67.0,45.0,0.0,980618.9796772687
-66.0,45.0,0.0,980621.2965928029
-65.0,45.0,70.0,980600.9723413517
-64.0,45.0,38.0,980611.053751228
-63.0,45.0,118.0,980585.8957634298
-62.0,45.0,1.0,980621.3595076683
-61.0,45.0,0.0,980621.0873892953
-60.0,45.0,0.0,980620.4805820317
-59.0,45.0,0.0,980619.6290331341
-58.0,45.0,0.0,980618.5682465757
-57.0,45.0,0.0,980617.8628430836
-56.0,45.0,0.0,980618.5171031998
-55.0,45.0,0.0,980621.5117364221
-54.0,45.0,0.0,980627.2051953386
-53.0,45.0,0.0,980634.9635675014
-52.0,45.0,0.0,980643.2748367732
-51.0,45.0,0.0,980650.3196936019
-50.0,45.0,0.0,980654.691760302
-49.0,45.0,0.0,980655.872824834
-48.0,45.0,0.0,980654.229558615
-47.0,45.0,0.0,980650.6098526415
-46.0,45.0,0.0,980645.8575981075
-45.0,45.0,0.0,980640.5792872452
-44.0,45.0,0.0,980635.2720108281
-43.0,45.0,0.0,980630.624763726
-42.0,45.0,0.0,980627.6519648104
-41.0,45.0,0.0,980627.4301613116
-40.0,45.0,0.0,980630.5170798489
-39.0,45.0,0.0,980636.419437186
-38.0,45.0,0.0,980643.525680588
-37.0,45.0,0.0,980649.6712233032
-36.0,45.0,0.0,980653.1038353756
-35.0,45.0,0.0,980653.3287798543
-34.0,45.0,0.0,980651.3394391369
-33.0,45.0,0.0,980649.0800947347
-32.0,45.0,0.0,980648.4348164013
-31.0,45.0,0.0,980650.3071838096
-30.0,45.0,0.0,980654.2794789363
-29.0,45.0,0.0,980658.9729497235
-28.0,45.0,0.0,980662.8165123576
-27.0,45.0,0.0,980664.7357230599
-26.0,45.0,0.0,980664.40586424
-25.0,45.0,0.0,980662.0558873784
-24.0,45.0,0.0,980658.1101289768
-23.0,45.0,0.0,980653.0036218252
-22.0,45.0,0.0,980647.2879310384
